bodega_id,poly_condition_id
0x28c29d67cfc9f03e71a8fcf743718de60ffceaab2198f0b1c4dc0af9ddb87157,0x28c29d67cfc9f03e71a8fcf743718de60ffceaab2198f0b1c4dc0af9ddb87157
193D_WILL_TRUMP_TWEET,0x9e883365bd8b2620b35812309d093bc62322bdd2ccdb4404762da6bb7cf029ae
1E7A_WILL_CHARLES_TAL,0x2762f3756873e84610aa058d64caf385ac48ae4c9719cd82c05a41514f112c89
5931_BITCOIN_TO_HIT_1,0x50b8b0f741566a420756d975faaf4cc4716229cd5183c3a35b3b20ac2b5050ef
9069_GOLD_CUP_WILL_U,0xe84c2bac374289af38b041a3da9fc78dd36fba71a8a6fd0298e80783e28adb88
91A1_DALLAS_COWBOYS_B,0xb840d47bd768cbb4e3590cabe92d85c22bbdb2f0a7244a1215715802f7ed104d
9D47_WILL_ADA_GO_TO_1,0x7035c84a7aef6d1cca690edf2755cc3fdaef2faef1be1e28ef9066072a50dcb1
EE55_WILL_STRIKE_REAC,0x612c7f24f2bf0b19319fcf2b577d56b969ec428e3678ca5ddc2dfeaddbda2044
F021_WILL_ADA_TRADE_A,0x3d3f13d64e72d30b3bd26ef16cec0becc9690a79211648813090879181766f65
FD30_BODEGA_PRICE_OVE,0xb384cf1781f21d01f09c92baeebde28b980bfbb3c338fd2b0e981b63d5bc7b49
